,west,east,south,north,central,national
77,[52.7357063293457],[56.03289031982422],[58.79882049560547],[58.59425354003906],[52.95991134643555],[42.7169189453125]
78,[53.89187240600586],[56.03289031982422],[58.82258605957031],[58.67121887207031],[53.00617599487305],[42.38788604736328]
79,[53.847591400146484],[56.03289031982422],[60.09734344482422],[59.95536804199219],[53.070945739746094],[45.76773452758789]
80,[53.806278228759766],[57.163700103759766],[61.225215911865234],[61.1204948425293],[55.37179946899414],[50.039615631103516]
81,[52.6131477355957],[57.15810012817383],[61.17130661010742],[60.99797439575195],[55.361515045166016],[52.152748107910156]
82,[52.685386657714844],[57.08083724975586],[59.87437057495117],[59.61815643310547],[55.261199951171875],[50.5349006652832]
83,[52.7357063293457],[57.01563262939453],[59.77759552001953],[59.565330505371094],[55.1079216003418],[51.277164459228516]
84,[52.772621154785156],[58.14950180053711],[59.801387786865234],[59.643714904785156],[55.1079216003418],[51.06413650512695]
85,[52.772621154785156],[58.145084381103516],[59.923343658447266],[59.73656463623047],[56.235652923583984],[52.3264274597168]
86,[53.89187240600586],[60.293312072753906],[59.923343658447266],[59.73656463623047],[57.31865692138672],[52.14714431762695]
87,[54.94229507446289],[61.37685775756836],[61.079437255859375],[60.93199157714844],[57.266658782958984],[53.30884552001953]
88,[54.877628326416016],[61.243587493896484],[61.05260467529297],[60.89636993408203],[59.31882095336914],[54.35926055908203]
89,[55.90201187133789],[62.16557693481445],[62.18095779418945],[62.01106262207031],[59.26791763305664],[54.21294021606445]
90,[55.83879470825195],[62.0992546081543],[62.034481048583984],[60.67803192138672],[59.17512130737305],[54.03123092651367]
91,[54.660701751708984],[60.851112365722656],[60.854347229003906],[60.62825012207031],[57.864688873291016],[52.66452407836914]
92,[54.68204116821289],[60.79227828979492],[60.75619888305664],[59.44178009033203],[56.72187423706055],[52.76081848144531]
93,[53.569087982177734],[59.70814895629883],[59.63748550415039],[58.39657974243164],[58.003726959228516],[52.84018325805664]
94,[53.68336486816406],[58.64963912963867],[58.63996505737305],[57.35041809082031],[56.95017623901367],[51.687686920166016]
95,[52.56730270385742],[58.75870132446289],[58.680152893066406],[56.3819465637207],[57.00728225708008],[51.78377914428711]
96,[51.50739669799805],[57.75107955932617],[57.68223571777344],[56.57200622558594],[55.81379318237305],[51.862361907958984]
97,[50.46139144897461],[57.8517951965332],[57.81987380981445],[55.560142517089844],[55.945716857910156],[50.71076965332031]
98,[50.65519332885742],[57.92874526977539],[57.84362030029297],[55.68583679199219],[56.0087890625],[49.54388427734375]
99,[51.88279342651367],[57.99888610839844],[57.962589263916016],[55.759010314941406],[56.0871696472168],[48.46180725097656]
100,[51.860328674316406],[57.99888610839844],[57.962589263916016],[55.84636688232422],[56.0871696472168],[47.4864387512207]
101,[51.81631088256836],[57.99888610839844],[57.962589263916016],[54.67203140258789],[54.920440673828125],[46.51115798950195]
102,[51.77730941772461],[56.84658432006836],[56.81863784790039],[53.553131103515625],[54.96528244018555],[45.53603744506836]
103,[51.77730941772461],[56.8724365234375],[56.8406982421875],[52.512184143066406],[53.85187911987305],[40.73009490966797]
104,[51.77730941772461],[55.79445266723633],[55.725433349609375],[52.70555114746094],[53.985443115234375],[38.86043167114258]
105,[51.77730941772461],[55.893489837646484],[55.86127471923828],[52.85489273071289],[55.18978500366211],[42.05326843261719]
106,[51.77730941772461],[55.96675109863281],[55.88499450683594],[52.939083099365234],[55.24009323120117],[42.333187103271484]
107,[51.77730941772461],[54.88637161254883],[54.85857391357422],[51.76701736450195],[55.18537521362305],[42.38788604736328]
108,[51.77730941772461],[54.91498947143555],[54.881534576416016],[51.81916046142578],[53.93994903564453],[38.414493560791016]
109,[46.929325103759766],[51.541751861572266],[52.64387512207031],[50.721595764160156],[52.79674530029297],[33.6770133972168]
110,[43.66659164428711],[50.61286544799805],[51.66264343261719],[49.68671798706055],[51.72506332397461],[30.71831512451172]
111,[40.67373275756836],[48.54986572265625],[50.59675979614258],[46.33928680419922],[50.744895935058594],[29.210668563842773]
112,[39.0077018737793],[47.74787139892578],[47.50013732910156],[44.28530502319336],[47.29141616821289],[27.515220642089844]
113,[37.1245002746582],[45.677955627441406],[46.54692459106445],[44.68784713745117],[46.472145080566406],[26.926673889160156]
114,[38.91056442260742],[47.12254333496094],[47.856529235839844],[45.0521240234375],[48.067543029785156],[26.079381942749023]
115,[38.93157958984375],[48.35251998901367],[48.16775894165039],[48.78926086425781],[48.33451843261719],[27.61634063720703]
116,[42.41017532348633],[49.45652770996094],[51.653785705566406],[52.144020080566406],[47.17787170410156],[27.649860382080078]
117,[44.39668655395508],[50.43565368652344],[52.615142822265625],[52.97368621826172],[45.9404182434082],[27.670568466186523]
118,[45.2967643737793],[51.41652297973633],[52.51643371582031],[52.40760040283203],[47.25699234008789],[27.588504791259766]
119,[46.15152359008789],[51.304168701171875],[53.32926559448242],[53.242305755615234],[48.50301742553711],[29.961179733276367]
120,[47.09394454956055],[50.04983901977539],[52.04981994628906],[51.92292785644531],[50.700374603271484],[31.03034210205078]
121,[46.94990921020508],[48.88728332519531],[52.04907989501953],[51.900352478027344],[49.44175720214844],[30.865415573120117]
122,[45.67881393432617],[47.854034423828125],[50.82388687133789],[50.721595764160156],[48.080875396728516],[31.81718635559082]
123,[44.52714920043945],[46.8794059753418],[50.95860290527344],[50.85417938232422],[48.031211853027344],[30.436073303222656]
124,[42.25335693359375],[45.904788970947266],[50.98248291015625],[50.92279815673828],[50.45930099487305],[29.22829818725586]
125,[41.40489959716797],[46.07960891723633],[52.24070739746094],[52.1864013671875],[50.4980583190918],[28.0889892578125]
126,[41.7076301574707],[46.188262939453125],[52.211734771728516],[52.13225555419922],[49.22200393676758],[31.954387664794922]
127,[40.62069320678711],[47.364131927490234],[51.04010009765625],[50.88101577758789],[45.42940902709961],[30.688331604003906]
128,[38.321353912353516],[47.331565856933594],[50.95860290527344],[50.85417938232422],[43.264610290527344],[29.413190841674805]
129,[38.69222640991211],[46.13187789916992],[50.98248291015625],[50.92279815673828],[43.78104019165039],[28.0889892578125]
130,[38.84144973754883],[44.98518753051758],[51.09267044067383],[51.005516052246094],[42.99104309082031],[27.121070861816406]
131,[38.911766052246094],[43.955509185791016],[51.09267044067383],[51.005516052246094],[42.026004791259766],[29.798606872558594]
132,[41.26238250732422],[45.27936935424805],[52.24070739746094],[52.1864013671875],[43.36603927612305],[30.950088500976562]
133,[43.35553741455078],[46.448848724365234],[51.06639862060547],[50.95442199707031],[43.46615982055664],[32.03925323486328]
134,[41.98105239868164],[47.50379943847656],[52.21385955810547],[52.114959716796875],[44.653968811035156],[32.934261322021484]
135,[41.856624603271484],[46.2558708190918],[52.10107421875],[52.04426574707031],[44.52726364135742],[32.721893310546875]
136,[41.8332405090332],[46.182559967041016],[52.184226989746094],[52.05766677856445],[45.62214279174805],[34.941200256347656]
137,[43.047428131103516],[48.42724609375],[52.07516098022461],[51.97188949584961],[45.49983596801758],[37.05210876464844]
138,[44.11240768432617],[49.51854705810547],[52.07516098022461],[51.97188949584961],[45.4344596862793],[38.028507232666016]
139,[42.807743072509766],[49.38825607299805],[50.932098388671875],[50.799922943115234],[48.715301513671875],[38.86099624633789]
140,[42.80228805541992],[51.41718673706055],[50.95860290527344],[49.68671798706055],[50.82574462890625],[38.55722427368164]
141,[42.820377349853516],[49.11678695678711],[48.71287536621094],[47.492794036865234],[48.453365325927734],[40.780879974365234]
142,[40.426021575927734],[49.04986572265625],[48.8658332824707],[46.57591247558594],[48.13374710083008],[39.36079788208008]
143,[40.691959381103516],[49.05879592895508],[48.908626556396484],[48.01801300048828],[46.90556716918945],[38.05137252807617]
144,[40.81186294555664],[49.170597076416016],[49.126068115234375],[48.17878723144531],[47.141502380371094],[39.27874755859375]
145,[40.88498306274414],[49.170597076416016],[49.126068115234375],[49.37814712524414],[47.210567474365234],[38.10390090942383]
146,[42.06583023071289],[50.29126739501953],[50.27526092529297],[49.23005294799805],[48.44895935058594],[38.22710037231445]
147,[41.968875885009766],[50.27020263671875],[50.24412155151367],[49.158531188964844],[49.54740524291992],[40.624717712402344]
148,[41.913997650146484],[50.20283889770508],[50.21665573120117],[49.074729919433594],[48.31483459472656],[40.57419967651367]
149,[44.18783187866211],[51.26963424682617],[51.258113861083984],[50.256072998046875],[49.36338424682617],[37.95328903198242]
150,[45.17369079589844],[51.251678466796875],[51.22815704345703],[49.01930618286133],[51.533809661865234],[41.63865280151367]
151,[47.2454833984375],[51.18307876586914],[52.34568786621094],[50.186885833740234],[52.630001068115234],[44.9478874206543]
152,[47.039981842041016],[51.127925872802734],[52.211734771728516],[48.93714904785156],[52.465370178222656],[49.133914947509766]
153,[48.03510665893555],[51.127925872802734],[52.184226989746094],[49.005577087402344],[52.25456237792969],[52.16065216064453]
154,[47.89616775512695],[51.127925872802734],[52.07516098022461],[47.82284164428711],[52.17426681518555],[53.02396774291992]
155,[45.46639633178711],[52.24922561645508],[53.22309112548828],[46.78974914550781],[52.17426681518555],[53.65986251831055]
156,[44.41786575317383],[51.10270309448242],[53.19491195678711],[46.918399810791016],[52.17426681518555],[53.23164367675781]
157,[47.00580978393555],[51.062931060791016],[53.167388916015625],[47.063621520996094],[52.17426681518555],[53.05166244506836]
158,[49.16709518432617],[52.19970703125],[53.05720520019531],[45.967796325683594],[52.17427444458008],[52.94587326049805]
159,[49.0561637878418],[52.23405838012695],[53.05720520019531],[47.21728515625],[52.17427444458008],[52.94587326049805]
160,[48.881019592285156],[51.03023147583008],[53.05720520019531],[48.396583557128906],[52.17426681518555],[52.94588088989258]
161,[48.79730987548828],[51.00581741333008],[51.914669036865234],[47.16938781738281],[52.17426681518555],[51.68769454956055]
162,[49.936336517333984],[49.927303314208984],[51.94004821777344],[48.261680603027344],[51.00107955932617],[51.78378677368164]
163,[50.99337387084961],[48.88728332519531],[53.112510681152344],[47.00382995605469],[52.20746612548828],[53.10953140258789]
164,[50.90774154663086],[50.13529968261719],[52.04981994628906],[45.89959716796875],[52.234066009521484],[51.87870407104492]
165,[50.822750091552734],[51.332427978515625],[52.04907989501953],[47.135955810546875],[52.25456237792969],[51.88948440551758]
166,[50.783016204833984],[51.304168701171875],[53.112510681152344],[47.213409423828125],[52.17426681518555],[53.10953140258789]
167,[50.783016204833984],[51.18307876586914],[53.19491195678711],[48.41436767578125],[52.17426681518555],[53.127445220947266]
168,[50.783016204833984],[52.24922561645508],[53.167388916015625],[48.264015197753906],[52.17426681518555],[53.05166244506836]
169,[50.783016204833984],[52.23405456542969],[53.05720520019531],[49.37814712524414],[53.309268951416016],[52.94588088989258]
170,[50.783016204833984],[52.16414260864258],[53.05720520019531],[50.41444396972656],[52.13613510131836],[52.94588088989258]
171,[50.783016204833984],[52.10765075683594],[54.20531463623047],[50.2850341796875],[53.257713317871094],[54.19099044799805]
172,[48.41098403930664],[52.10765075683594],[54.17776107788086],[51.30805969238281],[53.21041488647461],[54.1077995300293]
173,[47.40225601196289],[52.10765075683594],[54.15020751953125],[51.16399383544922],[53.23080825805664],[54.03123092651367]
174,[45.19748306274414],[52.10765075683594],[52.89655685424805],[51.09049987792969],[53.1515007019043],[52.66452407836914]
175,[44.377750396728516],[50.968048095703125],[51.7848014831543],[51.005516052246094],[51.980289459228516],[51.49559020996094]
176,[44.66904830932617],[51.00581741333008],[52.97491455078125],[51.005516052246094],[53.183353424072266],[47.86466598510742]
177,[44.79655838012695],[52.199703216552734],[51.93842315673828],[52.1864013671875],[52.05023956298828],[45.83645248413086]
178,[47.11826705932617],[51.10270309448242],[52.04907989501953],[50.95442199707031],[52.11088562011719],[41.30741500854492]
179,[46.9961051940918],[48.777896881103516],[50.82388687133789],[49.76304626464844],[50.91197967529297],[43.56999206542969]
180,[44.52509689331055],[48.890872955322266],[52.105865478515625],[46.33928680419922],[52.20746612548828],[45.15792465209961]
181,[43.42500686645508],[50.19382095336914],[52.10107421875],[45.46290588378906],[52.234066009521484],[47.76002883911133]
182,[43.68098831176758],[51.37653732299805],[52.184226989746094],[45.79939270019531],[52.25456237792969],[49.85066604614258]
183,[43.80812072753906],[52.399070739746094],[52.07516098022461],[46.09857940673828],[52.17426681518555],[51.90182876586914]
184,[43.847469329833984],[53.38319778442383],[53.22309112548828],[47.36597442626953],[53.309268951416016],[52.72863006591797]
185,[46.14078903198242],[54.36882400512695],[54.34001922607422],[48.48390579223633],[53.287445068359375],[53.56665802001953]
186,[46.009403228759766],[56.42005920410156],[56.55503845214844],[49.53797149658203],[52.068119049072266],[54.45656204223633]
187,[45.91160583496094],[57.440433502197266],[57.52051544189453],[51.69245910644531],[52.0274772644043],[55.4415168762207]
188,[45.825199127197266],[57.2758674621582],[57.345314025878906],[51.42258071899414],[52.09292221069336],[55.194278717041016]
189,[46.979496002197266],[57.08083724975586],[57.09719467163086],[51.17762756347656],[52.17426681518555],[53.75166320800781]
190,[46.906978607177734],[57.01563262939453],[56.981990814208984],[51.005516052246094],[53.30926513671875],[53.7378044128418]
191,[46.85687255859375],[57.01563262939453],[56.981990814208984],[49.83326721191406],[54.397090911865234],[53.81795120239258]
192,[47.96427536010742],[57.01563262939453],[56.98199462890625],[48.721275329589844],[53.19861602783203],[55.172508239746094]
193,[47.89616775512695],[57.01563262939453],[56.98199462890625],[48.84716796875],[53.08893585205078],[56.3268928527832]
194,[50.08134841918945],[57.01563262939453],[56.98199462890625],[51.35624694824219],[53.070945739746094],[56.17560958862305]
195,[51.05873107910156],[57.01563262939453],[56.98199462890625],[50.14722442626953],[53.1515007019043],[57.23970413208008]
196,[50.94868087768555],[57.01563262939453],[56.98199462890625],[48.875762939453125],[53.1515007019043],[57.048709869384766]
197,[50.822750091552734],[57.01563262939453],[56.98199462890625],[47.68217849731445],[53.1515007019043],[56.96953582763672]
198,[50.783016204833984],[57.01563262939453],[56.98199462890625],[49.06009292602539],[53.1515007019043],[56.85995101928711]
199,[50.783016204833984],[57.01563262939453],[56.98199462890625],[49.14434051513672],[53.1515007019043],[56.85995101928711]
200,[50.783016204833984],[55.866397857666016],[56.98199462890625],[47.980926513671875],[53.1515007019043],[56.85995101928711]
201,[50.783016204833984],[55.893489837646484],[56.98199462890625],[49.14134979248047],[53.1515007019043],[56.85995101928711]
202,[48.41098403930664],[57.10551834106445],[56.98199462890625],[51.51325988769531],[53.1515007019043],[56.85995101928711]
203,[47.40225601196289],[57.15810012817383],[56.98199462890625],[52.611083984375],[53.1515007019043],[55.5941047668457]
204,[46.431270599365234],[57.08083724975586],[56.98199462890625],[52.31426239013672],[53.1515007019043],[54.42217254638672]
205,[47.85430908203125],[55.866397857666016],[55.83882141113281],[52.05766677856445],[54.28378677368164],[54.60692596435547]
206,[47.855865478515625],[54.74368667602539],[54.725982666015625],[51.97188949584961],[53.114501953125],[54.7956428527832]
207,[45.46639633178711],[53.70164489746094],[53.63937759399414],[51.97188949584961],[53.08893585205078],[53.64122772216797]
208,[43.17744064331055],[52.72707748413086],[52.65997314453125],[51.97188949584961],[53.070945739746094],[52.47128677368164]
209,[41.110557556152344],[51.752498626708984],[52.81013488769531],[51.97188949584961],[53.1515007019043],[51.3878059387207]
210,[41.618431091308594],[47.375938415527344],[54.09341049194336],[51.97188949584961],[54.28378677368164],[50.41253662109375]
211,[41.7978630065918],[46.614383697509766],[54.17776107788086],[51.97188949584961],[54.26338577270508],[50.7022590637207]
212,[41.87203598022461],[46.89389419555664],[54.15020751953125],[51.97188949584961],[54.20773696899414],[50.88456726074219]
213,[41.87203598022461],[46.0178337097168],[52.89655685424805],[51.97188949584961],[52.95991134643555],[49.733787536621094]
214,[41.87203598022461],[46.132171630859375],[52.92097473144531],[51.97188949584961],[53.00617599487305],[51.07889175415039]
215,[41.87203598022461],[47.319740295410156],[52.94477081298828],[51.97188949584961],[53.070945739746094],[48.55403518676758]
216,[40.6645622253418],[47.331565856933594],[53.05720520019531],[51.97188949584961],[53.1515007019043],[41.12057876586914]
217,[39.56602096557617],[47.26756286621094],[53.05720520019531],[51.97188949584961],[53.1515007019043],[39.398475646972656]
218,[39.76759719848633],[47.21624755859375],[51.914669036865234],[51.97188949584961],[51.980289459228516],[39.0400505065918]
219,[39.86049270629883],[47.21624755859375],[51.94004821777344],[51.97188949584961],[52.0274772644043],[38.622859954833984]
220,[39.89826583862305],[48.33846664428711],[51.96387481689453],[51.97188949584961],[52.09292221069336],[36.48089599609375]
221,[39.89826583862305],[47.17795181274414],[53.22309112548828],[51.97188949584961],[53.309268951416016],[38.16292953491211]
222,[39.89826965332031],[46.015560150146484],[53.194908142089844],[51.971893310546875],[53.287445068359375],[39.48809814453125]
223,[39.89826965332031],[47.21847152709961],[53.167388916015625],[51.971893310546875],[53.23081970214844],[39.5311164855957]
224,[39.89826583862305],[49.48744583129883],[53.05720520019531],[51.97188949584961],[53.1515007019043],[41.75624465942383]
225,[39.89826583862305],[49.45676040649414],[53.05720520019531],[51.97188949584961],[53.1515007019043],[42.73244094848633]
226,[42.23711013793945],[49.27418518066406],[53.05720520019531],[51.97188949584961],[53.1515007019043],[44.890201568603516]
227,[42.06554412841797],[51.3856086730957],[54.20531463623047],[51.97188949584961],[54.28378677368164],[44.57627487182617]
228,[41.958927154541016],[51.37495803833008],[54.17776107788086],[51.97188949584961],[54.26338577270508],[44.34195327758789]
229,[41.87203598022461],[52.33704376220703],[54.15020751953125],[53.153160095214844],[54.20773696899414],[45.36880111694336]
230,[41.87203598022461],[52.23405456542969],[55.187408447265625],[53.101539611816406],[55.25924301147461],[45.291385650634766]
231,[43.047428131103516],[52.16414260864258],[55.16033172607422],[53.02577209472656],[55.24009323120117],[45.2202033996582]
232,[44.11240768432617],[53.2299919128418],[56.27950668334961],[52.939083099365234],[56.30195999145508],[45.12061309814453]
233,[45.13126754760742],[53.21729278564453],[56.14268493652344],[52.939083099365234],[56.217586517333984],[43.87363052368164]
234,[46.11240005493164],[53.14601516723633],[56.11506271362305],[52.939083099365234],[56.16374588012695],[45.21131134033203]
235,[45.961883544921875],[53.08803939819336],[56.00120544433594],[52.939083099365234],[56.0871696472168],[45.192726135253906]
236,[47.014461517333984],[53.08803939819336],[56.00120544433594],[52.939083099365234],[56.0871696472168],[45.2202033996582]
237,[46.906978607177734],[54.211875915527344],[56.00120544433594],[52.939083099365234],[56.0871696472168],[45.12061309814453]
238,[46.856868743896484],[53.06747817993164],[56.00120544433594],[52.939083099365234],[56.0871696472168],[46.3471794128418]
239,[46.81511306762695],[53.01955032348633],[56.00120544433594],[52.939083099365234],[56.0871696472168],[47.481590270996094]
240,[45.63007736206055],[53.027381896972656],[56.00120544433594],[51.76701736450195],[56.0871696472168],[48.55404281616211]
241,[44.52714920043945],[54.211875915527344],[57.15139389038086],[52.99516296386719],[57.213016510009766],[45.84360885620117]
242,[44.702884674072266],[54.20136642456055],[57.124847412109375],[51.8389892578125],[57.1959114074707],[43.311519622802734]
243,[44.79655838012695],[54.128662109375],[57.09719467163086],[51.900352478027344],[57.142860412597656],[44.86220932006836]
244,[45.9954948425293],[55.194820404052734],[56.98199462890625],[53.06561279296875],[57.06711196899414],[43.849056243896484]
